編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLKKRHGGFIB58DA,4,44.28,本共有部分之項目有：水箱、停車空間、排煙室、安全梯、污水機房、消防機房、梯廳、車道、停車空間兼防空避難空間、台電配電室、緊急發電機室、電信室、電表室、機械室、受電箱區等１５項,鋼筋混凝土造,107年2月14日,十一層,
RPVOMLKKRHGGFIB58DA,4,15.02,本共有部分之項目有：管委會使用空間、外廊、廊道、安全梯、梯廳、排煙室、戶外安全梯、管道間、水錶室、梯間、電梯機械室、水箱等１２項,鋼筋混凝土造,107年2月14日,十一層,
RPOPMLSJRHGGFIB68DA,39,137.00,住商用,鋼筋混凝土造,71年9月18日,二層,一層 二層 陽台 騎樓 見其他登記事項
RPTNMLTJRHGGFIB09DA,27,23.22,共有部分,鋼筋混凝土造,83年4月21日,十二層,
RPTNMLTJRHGGFIB09DA,27,120.23,集合住宅,鋼筋混凝土造,83年4月21日,十二層,四層 陽台
RPTOMLOJQHGGFJB68DA,30,24.37,防空避難室、停車空間、受電室、梯間,鋼筋混凝土造,80年11月1日,十二層,地下層
RPTOMLOJQHGGFJB68DA,30,74.65,集合住宅,鋼筋混凝土造,80年11月1日,十二層,二層 陽台 花台
RPTOMLOJQHGGFJB68DA,30,11.21,共有部分,鋼筋混凝土造,80年11月1日,十二層,
RPUNMLTJQHGGFJB56DA,1,140.85,住宅,鋼筋混凝土造,109年11月23日,四層,一層 二層 三層 四層 陽台
RPTNMLKKQHGGFJB28DA,8,84.25,店舖,鋼筋混凝土造,103年1月6日,十四層,一層 陽台
RPTNMLKKQHGGFJB28DA,8,92.12,停車空間、排煙室、樓梯間、昇降機間、消防機房、污水機房、梯廳、車道、電梯機房、水箱、防空避難室兼停車空間、台電配電室、電錶箱室、機房、公共服務空間、梯間、垃圾集中處、門廊、電信室、機車停車區、開放空間（頂蓋型）、陽台、緊急發電機室,鋼筋混凝土造,103年1月6日,十四層,
RPWNMLQKQHGGFJB56DA,22,223.42,停車空間、住宅、水塔間,鋼筋混凝土造,88年2月3日,四層,一層 二層 三層 四層 陽台 雨遮 地下層 見其他登記事項
RPWNMLQKQHGGFJB56DA,22,22.83,停車空間,鋼筋混凝土造,88年2月3日,四層,
RPRNMLKKRHGGFJB18DA,42,79.36,住家用,鋼筋混凝土造,68年2月25日,二層,一層 二層
RPROMLSJRHGGFJB98DA,42,79.89,住家用,鋼筋混凝土造,68年3月9日,三層,三層
RPROMLTJRHGGFJB09DA,29,180.99,住宅、梯間,鋼筋混凝土造,81年9月13日,四層,一層 二層 三層 四層 陽台 平台 見其他登記事項
RPRNMLKKRHGGFKB28DA,32,150.63,住家用,加強磚造,78年3月10日,二層,一層 二層 騎樓 電梯樓梯間
RPWPMLKKRHGGFCB28EA,38,119.71,住家用,鋼筋混凝土造,72年9月30日,五層,五層 陽台
RPSNMLKKRHGGFFB87DA,,187.08,停車空間、住宅,鋼筋混凝土造,110年3月31日,四層,一層 二層 三層 四層 陽台
RPUWMLLKRHGGFCB88EA,16,118.15,住家用,鋼筋混凝土造,94年7月4日,十六層,十五層 陽台
RPUWMLLKRHGGFCB88EA,16,71.45,共用,鋼筋混凝土造,94年7月4日,十七層,
RPQOMLNKRHGGFFB18EA,26,91.06,住家用,鋼筋混凝土造,84年7月11日,八層,五層 陽台
RPQOMLNKRHGGFFB18EA,26,26.38,避難室、停車空間,鋼筋混凝土造,84年7月11日,八層,
RPQOMLNKRHGGFFB18EA,26,11.20,梯間、水箱、機械室,鋼筋混凝土造,84年7月11日,八層,
RPOPMLKKRHGGFAB27EA,41,60.99,商業用,鋼筋混凝土造,69年8月21日,四層,一層
RPROMLNKRHGGFJB68EA,,80.91,集合住宅,鋼筋混凝土造,110年3月29日,十五層,七層 陽台 雨遮
RPROMLNKRHGGFJB68EA,,71.20,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、汙水處理機房、水箱、車道、停車空間、緊急發電機室、電信室、機房、台電配電室、機車停車區、廣場式頂蓋型開放空間、門廳、梯廳、垃圾集中室、公共服務空間、電梯機房、管委會使用空間、沿街步道式頂蓋型開放空間、梯間、水錶箱室等２５項,鋼筋混凝土造,110年3月29日,十五層,
RPOPMLKKRHGGFCB47EA,16,286.50,住宅、梯間,鋼筋混凝土造,94年12月9日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPOPMLKKRHGGFCB47EA,16,56.04,共用,鋼筋混凝土造,94年12月9日,四層,
RPWOMLNKRHGGFCB48EA,40,26.84,住家用,鋼筋混凝土造,70年12月29日,五層,四層 陽台
RPOQMLKKRHGGFBB37DA,26,62.78,住家用,鋼筋混凝土造,84年8月14日,十六層,十五層 陽台 花台
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,10.11,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.62,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,10.11,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPOQMLKKRHGGFBB37DA,26,.00,共有部分,鋼筋混凝土造,84年8月14日,十六層,
RPSOMLTJRHGGFFB88EA,16,182.67,住宅、梯間,鋼筋混凝土造,94年5月30日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
SPTOMLTJRHGGFJB76DA,,59.63,集合住宅,鋼筋混凝土造,110年7月21日,十五層,六層 陽台 雨遮
SPTOMLTJRHGGFJB76DA,,58.98,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPTOMLTJRHGGFJB66DA,,55.22,集合住宅,鋼筋混凝土造,110年7月21日,十五層,六層 陽台 雨遮
RPTOMLTJRHGGFJB66DA,,56.74,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
SPUOMLTJRHGGFJB86DA,,93.34,集合住宅,鋼筋混凝土造,110年7月21日,十五層,七層 陽台 雨遮
SPUOMLTJRHGGFJB86DA,,74.90,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPUOMLTJRHGGFJB76DA,,93.36,集合住宅,鋼筋混凝土造,110年7月21日,十五層,六層 陽台 雨遮
RPUOMLTJRHGGFJB76DA,,74.90,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPTNMLNKRHGGFJB68DA,5,87.79,集合住宅,鋼筋混凝土造,105年10月19日,十五層,六層 陽台 雨遮
RPTNMLNKRHGGFJB68DA,5,27.12,公共服務空間、梯廳、管委會使用空間、門廳、污物處理室、泳池機房、梯廳兼排煙室、水錶室、水箱、機械室、梯間,鋼筋混凝土造,105年10月19日,十五層,
RPTNMLNKRHGGFJB68DA,5,45.00,停車空間、消防機房、水箱、梯間、機械室、梯廳兼排煙室、防空避難兼停車空間、台電配電場所（提供淨面積９１．０２平方公尺）、發電機、電信機房、水景機房,鋼筋混凝土造,105年10月19日,十五層,
RPUNMLQJRHGGFJB98DA,,59.67,集合住宅,鋼筋混凝土造,110年7月21日,十五層,十一層 陽台 雨遮
RPUNMLQJRHGGFJB98DA,,58.98,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPPNMLSJRHGGFJB68DA,35,165.41,店舖、住宅、人行道、梯間,鋼筋混凝土造,75年10月25日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPVNMLQJRHGGFJB09DA,,59.67,集合住宅,鋼筋混凝土造,110年7月21日,十五層,七層 陽台 雨遮
RPVNMLQJRHGGFJB09DA,,58.98,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPRNMLOJRHGGFJB48DA,,81.15,集合住宅,鋼筋混凝土造,110年7月21日,十五層,五層 陽台 雨遮
RPRNMLOJRHGGFJB48DA,,69.47,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPTNMLOJRHGGFJB68DA,,59.63,集合住宅,鋼筋混凝土造,110年7月21日,十五層,十一層 陽台 雨遮
RPTNMLOJRHGGFJB68DA,,58.98,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPQNMLQJRHGGFJB58DA,,81.15,集合住宅,鋼筋混凝土造,110年7月21日,十五層,三層 陽台 雨遮
RPQNMLQJRHGGFJB58DA,,69.47,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPXRMLMJRHGGFJB66DA,,59.63,集合住宅,鋼筋混凝土造,110年7月21日,十五層,三層 陽台 雨遮
RPXRMLMJRHGGFJB66DA,,58.98,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPOSMLMJRHGGFJB48DA,,59.67,集合住宅,鋼筋混凝土造,110年7月21日,十五層,三層 陽台 雨遮
RPOSMLMJRHGGFJB48DA,,58.98,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPQNMLOJRHGGFJB38DA,,110.32,集合住宅,鋼筋混凝土造,110年7月21日,十五層,五層 陽台 雨遮
RPQNMLOJRHGGFJB38DA,,113.47,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPWVMLNJRHGGFJB07DA,,81.15,集合住宅,鋼筋混凝土造,110年7月21日,十五層,十四層 陽台 雨遮
RPWVMLNJRHGGFJB07DA,,69.47,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
RPSNMLOJRHGGFJB58DA,,110.32,集合住宅,鋼筋混凝土造,110年7月21日,十五層,十層 陽台 雨遮
RPSNMLOJRHGGFJB58DA,,144.56,防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、消防機房、污水處理機房、雨水機房、水箱、車道、緊急發電機室、台電配電室、電信室、機房、機車停車區、梯廳、公共服務空間、管委會空間、門廳、無障礙廁所、梯間、停車空間、水錶箱室、電梯機房等２４項,鋼筋混凝土造,110年7月21日,十五層,
