編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLQJRHGGFAO09DA,30,47.45,共有部分,鋼筋混凝土造,80年10月28日,000,
RPROMLSJRHGGFAO76DA,33,135.39,住家用,鋼筋混凝土造,77年5月4日,二層,一層 二層 陽台 平台 屋頂突出物
RPPNMLRJRHGGFAO09EA,39,100.29,住家用,鋼筋混凝土造,71年11月18日,五層,四層
RPPNMLRJRHGGFAO09EA,39,7.26,共有部分,鋼筋混凝土造,71年11月18日,000,
RPQQMLRJRHGGFAO86EA,29,91.05,住家用,鋼筋混凝土造,81年2月28日,五層,一層 平台
RPQQMLRJRHGGFAO86EA,29,9.30,共有部分,鋼筋混凝土造,81年2月28日,五層,
RPXOMLSJRHGGFAO37DA,24,24.89,辦公室,鋼筋混凝土造,86年7月15日,十二層,五層 陽台
RPXOMLSJRHGGFAO37DA,24,3.64,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPXOMLSJRHGGFAO37DA,24,.09,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPXOMLSJRHGGFAO37DA,24,7.17,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPSNMLRJRHGGFAO76EA,27,52.72,商業用,鋼筋混凝土造,83年8月5日,十二層,五層
RPSNMLRJRHGGFAO76EA,,16.73,共有部分,鋼筋混凝土造,0年0月0日,十二層,
RPSNMLRJRHGGFAO76EA,,2.55,共有部分,鋼筋混凝土造,,十二層,
RPRRMLRJRHGGFAO96DA,12,248.09,停車空間、住宅,鋼筋混凝土造,98年4月3日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPPNMLSJRHGGFAO09DA,27,85.46,住家用,鋼筋混凝土造,84年1月18日,九層,七層 陽台
RPPNMLSJRHGGFAO09DA,27,3.19,共有部分,鋼筋混凝土造,84年1月18日,九層,
RPPNMLSJRHGGFAO09DA,27,38.30,共有部分,鋼筋混凝土造,84年1月18日,九層,
RPRQMLRJRHGGFAO96EA,27,121.10,住家用,鋼筋混凝土造,83年8月25日,八層,四層 陽台
RPRQMLRJRHGGFAO96EA,27,13.95,共有部分,鋼筋混凝土造,83年8月25日,八層,
RPRQMLRJRHGGFAO96EA,27,22.16,共有部分,鋼筋混凝土造,83年8月25日,八層,
RPSQMLRJRHGGFAO07EA,,86.28,見使用執照,鋼筋混凝土造,,二層,一層 二層 屋頂突出物
RPXQMLRJRHGGFAO57EA,14,154.27,住家用,鋼骨造,96年7月16日,十四層,六層 陽台 雨遮
RPXQMLRJRHGGFAO57EA,14,24.30,機電空間、樓梯間、水箱、機械室,鋼骨造,96年7月16日,十四層,
RPXQMLRJRHGGFAO57EA,14,41.22,防空避難室兼停車空間、 機電空間,鋼骨造,96年7月16日,十四層,
RPVQMLRJRHGGFAO37EA,12,366.37,停車空間、住宅、機電空間,鋼筋混凝土造,98年4月30日,三層,一層 二層 三層 陽台 雨遮 地下一層
RPPRMLRJRHGGFAO86EA,6,95.82,集合住宅,鋼筋混凝土造,104年7月20日,十三層,二層 陽台
RPPRMLRJRHGGFAO86EA,6,88.67,共有部分,鋼筋混凝土造,104年7月20日,十三層,
RPORMLRJRHGGFAO76EA,9,83.51,集合住宅,鋼筋混凝土造,101年4月20日,十一層,八層 陽台 雨遮
