鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路三段３３６號三樓之１５,10.76,都市：其他:商業區,,,1100830,土地3建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851219,52.46,2,0,2,有,有,2920000,55661,,0.0,0,陽台外推；,RPPNMLKKRHGGFAG57DA,33.07,3.35,0.0,有,011
三星鄉,土地,義德段769地號,3112.89,非都市： ; 非都市編定：,,,1100729,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64030000,20569,,0.0,0,,RPTNMLTJRHGGFAG78DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),宜蘭縣三星鄉安農北路五段３１巷７號,137.03,,特定農業區,甲種建築用地,1100819,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081017,236.17,3,1,5,有,無,13000000,55045,,0.0,0,,RPQOMLKKRHGGFAG77DA,204.8,31.37,0.0,有,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮培英路１５４號九樓之１,10.77,都市：其他:商業區,,,1100823,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820917,84.83,1,1,1,有,有,4900000,57763,,0.0,0,,RPROMLKKRHGGFAG87DA,68.88,0.0,0.0,有,
五結鄉,土地,加新段492地號,237.95,,鄉村區,乙種建築用地,1100715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4464000,18760,,0.0,0,,RPPNMLTJRHGGFAG38DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路７０巷２之８號二樓,30.07,都市：其他:住宅區,,,1100824,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091012,111.86,3,2,1,有,有,8500000,75988,一樓平面,0.0,1500000,,RPXPMLRJRHGGFAG56DA,61.48,8.02,0.0,有,
羅東鎮,土地,北成一段954地號,40.72,,特定農業區,甲種建築用地,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,24558,,0.0,0,,RPPOMLSJRHGGFAG38DA,0.0,0.0,0.0,無,012
羅東鎮,土地,新群一段1149地號,431.33,,特定農業區,甲種建築用地,1100801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8700000,20170,,0.0,0,1.地上未登記建物一併移轉2.土地增值稅及建物契稅由買方負擔3.代書費用由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPSOMLSJRHGGFAG68DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕二路１４５巷５３號,77.85,,特定農業區,甲種建築用地,1100720,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100203,172.58,4,2,5,有,無,8700000,50411,,0.0,0,,RPROMLQJRHGGFAG38DA,157.17,15.41,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉柯林五路８號,2649.93,,特定農業區,農牧用地,1100725,土地1建物1車位0,全,二層,透天厝,農舍,鋼筋混凝土造,1020530,464.72,10,2,11,有,無,28000000,60251,,0.0,0,其他增建：露台、一樓空地、平台、一樓圍牆、天井、防火巷、上下樓層打通之內梯等。陽台外推；頂樓加蓋；夾層；其他增建；,RPVNMLLJRHGGFAG18DA,431.87,32.85,0.0,無,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮豐年路３９巷２５號六樓之２,66.48,都市：其他:住宅區,,,1100414,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081009,230.87,3,2,3,有,有,20000000,95402,坡道平面,33.81,1200000,,RPRPMLNJQHGGFAG08DA,120.63,15.35,0.0,有,
三星鄉,房地(土地+建物),宜蘭縣三星鄉安農北路五段３１巷８號,135.67,,特定農業區,甲種建築用地,1100808,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081017,236.17,4,2,5,有,無,14500000,61396,,0.0,0,,RPRNMLQLQHGGFAG38DA,204.8,31.37,0.0,有,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿安路１９號,104.07,都市：其他:農業區,,,1100818,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660629,129.07,4,3,3,有,無,7950000,61594,,0.0,0,增建約39坪1~2樓空地、3~4樓頂樓其他增建；,RPQOMLRLQHGGFAG48DA,129.07,0.0,0.0,無,013
五結鄉,房地(土地+建物),宜蘭縣五結鄉鎮安路６３巷３６弄１０號,102.99,都市：其他:住宅區,,,1100811,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041222,195.08,4,2,4,有,無,11200000,57412,,0.0,0,,RPSOMLKKRHGGFAG97DA,178.07,17.01,0.0,無,014
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕五路１５０巷２２弄１９號,152.66,,特定農業區,甲種建築用地,1100717,土地8建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050301,221.77,4,2,5,有,無,9350000,42161,,0.0,0,,RPTNMLKKRHGGFAG97DA,205.37,16.4,0.0,無,
冬山鄉,土地,八仙段904地號,773.4,,特定農業區,農牧用地,1090512,土地1建物1車位0,一層，二層，三層，見其他登記事項,三層,其他,農舍,鋼筋混凝土造,1100806,233.29,0,0,0,有,無,6082800,7865,,0.0,0,土地為配建，建物由權利人出資興建,RPRNMLLKRHGGFAG87DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉群英路１６號,68.07,都市：其他:住宅區,,,1100713,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630517,99.9,2,2,3,有,無,8450000,84585,,0.0,0,其他增建；,RPSNMLLKRHGGFAG97DA,99.9,0.0,0.0,無,
三星鄉,土地,尚義段336地號,3643.0,,特定農業區,農牧用地,1100810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,3568,,0.0,0,,RPWNMLLKRHGGFAG38DA,0.0,0.0,0.0,無,015
三星鄉,房地(土地+建物),宜蘭縣三星鄉星中路３３７號,108.42,都市：其他:住宅區,,,1100807,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020524,164.72,3,2,3,有,無,7000000,42496,,0.0,0,,RPQOMLLKRHGGFAG87DA,153.01,11.71,0.0,無,016
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路１７６號三樓,39.46,,一般農業區,甲種建築用地,1100722,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960206,109.8,2,2,2,有,有,3980000,36248,,0.0,0,,RPSNMLNKRHGGFAG18DA,84.37,6.65,0.0,有,
五結鄉,土地,孝威段512-1地號,579.0,,特定農業區,農牧用地,1100818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1570000,2712,,0.0,0,,RPTNMLNKRHGGFAG28DA,0.0,0.0,0.0,無,
宜蘭市,土地,延平段651地號,2086.0,都市：其他:農業區,,,1100803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11040000,5292,,0.0,0,,RPVNMLNKQHGGFBG48DA,0.0,0.0,0.0,無,
宜蘭市,土地,建蘭新段358地號,269.69,都市：其他:農業區,,,1100711,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12230000,45348,,0.0,0,未登記建物；,RPTNMLKLQHGGFBG08DA,0.0,0.0,0.0,無,
宜蘭市,土地,建蘭新段359地號,330.61,都市：其他:農業區,,,1100711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,9074,,0.0,0,,RPUNMLKLQHGGFBG18DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市延平路６０巷２弄５之４號,29.77,都市：其他:住宅區,,,1100404,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820526,127.05,3,0,2,有,有,5480000,43133,一樓平面,0.0,0,,RPQPMLQLQHGGFBG58DA,88.01,9.8,0.0,有,
礁溪鄉,土地,新塭段148地號,3559.97,,一般農業區,養殖用地,1100720,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14861095,4175,,0.0,0,,RPPOMLKKRHGGFBG77DA,0.0,0.0,0.0,無,
宜蘭市,土地,進士一段1262地號,521.31,都市：其他:農業區,,,1091117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24970000,47899,,0.0,0,,RPVNMLLKRHGGFBG38DA,0.0,0.0,0.0,無,
員山鄉,土地,尚好段513地號,166.38,,特定農業區,農牧用地,1100813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1750000,10518,,0.0,0,,RPPOMLLKRHGGFBG87DA,0.0,0.0,0.0,無,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮朝陽路１號十七樓之八,57.69,都市：其他:住宅區,,,1100810,土地1建物1車位0,十七層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1061221,229.76999999999998,2,2,2,有,有,22400000,97489,,0.0,0,第74號至第254號停車位屬共有部分之汽車停車位，編屬本大廈共有部分即大公，其使用應依本大廈住戶管理規約共同使用之,RPPNMLMKRHGGFBG87DA,111.19,16.82,0.0,有,017
頭城鎮,車位,宜蘭縣頭城鎮朝陽路１號,13.51,都市：其他:住宅區,,,1100810,土地1建物1車位1,一層,二十九層,其他,集合住宅,鋼骨鋼筋混凝土造,1061221,55.650000000000006,0,0,0,無,有,1100000,,坡道平面,55.65,1100000,僅車位交易；,RPQNMLMKRHGGFBG97DA,0.0,0.0,0.0,有,018
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮朝陽路１號二十二樓之八,58.85,都市：其他:住宅區,,,1100810,土地1建物1車位0,二十二層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1061221,234.26,2,2,2,有,有,25650000,109494,,0.0,0,第74號至第254號停車位屬共有部分之汽車停車位，編屬本大廈共有部分建號即大公，其使用應依本大廈住戶管理規約共同使用之。,RPRNMLMKRHGGFBG08DA,111.19,19.1,0.0,有,019
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮朝陽路１號二十二樓之七,23.21,都市：其他:住宅區,,,1100810,土地1建物1車位0,二十二層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1061221,92.18,0,0,1,有,有,10500000,113908,,0.0,0,第74號至第254號停車位屬共有部分之汽車停車位，編屬本大廈共有部分建號即大公，其使用應依本大廈住戶管理規約共同使用之,RPSNMLMKRHGGFBG18DA,40.61,10.53,0.0,有,020
壯圍鄉,土地,壯濱三段706地號,162.55,,鄉村區,乙種建築用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1966000,12095,,0.0,0,未登記建物；,RPPNMLNKRHGGFBG97DA,0.0,0.0,0.0,無,
壯圍鄉,土地,復興段997-7地號,149.0,,特定農業區,甲種建築用地,1100705,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1895554,12722,,0.0,0,,RPRNMLNKRHGGFBG18DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市凱旋路５０２號三樓之五,39.04,都市：其他:第三種住宅區。,,,1100717,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080726,215.95,3,2,2,有,有,16710000,77379,坡道平面,0.0,0,,RPTNMLNKRHGGFBG38DA,116.39,12.12,0.0,有,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市延平路４１之１５號,72.09,都市：其他:住宅區,,,1100730,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0681006,153.0,6,2,3,有,無,4470000,29216,,0.0,0,陽台外推；,RPVNMLRJRHGGFBG88DA,153.0,0.0,0.0,無,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮文雅路５７巷１８號七樓之十五,24.21,都市：其他:住宅區,,,1100801,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060814,83.96000000000001,1,1,1,有,有,6500000,77418,,0.0,0,,RPSOMLRJRHGGFBG68DA,40.52,6.42,0.0,有,021
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮文雅路５７巷１８號七樓之十三,22.44,都市：其他:住宅區,,,1100801,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060814,77.8,1,1,1,有,有,6300000,80977,,0.0,0,,RPTOMLRJRHGGFBG78DA,37.77,5.73,0.0,有,022
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市三清路１１６巷５０號,102.13,都市：其他:住宅區,,,1100815,土地3建物1車位0,全,四層,透天厝,停車空間、住宅,鋼筋混凝土、鋼骨造,0970828,311.14,5,2,4,有,有,16880000,54252,,0.0,0,,RPPOMLMJRHGGFBG87DA,258.96,23.97,0.0,無,023
