鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路三段３２６號二樓之２７,46.73,都市：其他:第一之一種住宅區,,,1100817,土地2建物1車位1,二層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1041207,175.22,3,2,2,有,有,10900000,62208,坡道平面,34.91,0,,RPPNMLSJRHGGFAO56EA,87.02,9.97,0.0,有,029
新竹市,房地(土地+建物)+車位,新竹市新竹市金城一路８９號二樓之１,53.01,都市：其他:第一種住宅區,,,1100807,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土結構造,1000713,179.70999999999998,3,2,2,有,有,15600000,86807,坡道平面,0.0,0,,RPTPMLTJRHGGFAO17DA,93.95,13.18,0.0,有,030
新竹市,房地(土地+建物),新竹市新竹市明湖路２８巷１９號,154.0,都市：其他:第二種住宅區,,,1100807,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0430723,98.0,2,1,1,有,無,7500000,76531,,0.0,0,,RPROMLTJRHGGFAO86DA,98.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈濟路２１５號五樓之１,20.21,都市：其他:商務專用區,,,1100713,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090512,171.3,3,2,2,有,有,19800000,115587,坡道平面,0.0,0,,RPWOMLTJRHGGFAO37DA,80.83,4.29,0.0,有,031
新竹市,房地(土地+建物),新竹市新竹市東大路二段３１７號,87.0,都市：其他:第一種住宅區,,,1100811,土地1建物1車位0,全,三層,透天厝,騎樓、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,1011015,188.33,5,2,3,有,無,20500000,108851,,0.0,0,其他增建:頂樓4樓1-3樓法定空地增建.頂樓加蓋；其他增建；,RPTQMLSJRHGGFAO17DA,178.72,9.61,0.0,無,
新竹市,土地,東濱段462地號,22.68,都市：其他:道路用地,,,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,22046,,0.0,0,包含公共設施保留地用地；,RPUQMLSJRHGGFAO27DA,0.0,0.0,0.0,無,
新竹市,土地,竹蓮段139-2地號,12.86,都市：其他:道路用地,,,1100716,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,648438,50423,,0.0,0,包含公共設施保留地用地；,RPVNMLTJRHGGFAO17DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市南大路８１號３樓之１,26.64,都市：其他:第二種住宅區,,,1100826,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,164.25,3,2,2,有,有,7436000,45272,,0.0,0,,RPOPMLSJRHGGFAO56DA,123.62,7.94,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市尚濱路６６號二樓之３,15.48,都市：其他:第一之一種住宅區,,,1100726,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0961220,107.83000000000001,2,2,1,有,有,4100000,38023,坡道平面,0.0,0,,RPUOMLSJRHGGFAO07DA,49.45,8.35,0.0,有,032
新竹市,房地(土地+建物),新竹市新竹市江山街６號,47.0,都市：其他:第二種商業區,,,1100821,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620228,93.88,2,2,1,有,無,12000000,127823,,0.0,0,頂樓其他增建；,RPVOMLSJRHGGFAO17DA,93.88,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市草漯街２０１巷１０號六樓,68.35,,一般農業區,丙種建築用地,1100820,土地2建物1車位1,六層,六層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100412,147.22,3,2,2,有,有,8980000,71345,坡道平面,45.18,1700000,陽台外推；,RPWOMLSJRHGGFAO27DA,68.36,7.75,0.0,有,
新竹市,土地,中山段一小段82地號,0.69,都市：其他:道路用地,,,1100905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42000,0,,0.0,0,包含公共設施保留地用地；,RPTSMLRJRHGGFAO27DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市中華路四段７０３號四樓,6.81,都市：其他:乙種工業區,,,1100829,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0960630,27.299999999999997,1,0,1,有,有,1050000,38462,,0.0,0,,RPVRMLRJRHGGFAO37DA,17.17,0.53,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市中華路四段７０５號四樓,6.81,都市：其他:乙種工業區,,,1100829,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0960630,27.83,1,0,1,有,有,1000000,35932,,0.0,0,,RPWRMLRJRHGGFAO47DA,17.81,0.53,0.0,有,
