編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVWMLTJQHGGFAH27DA,24,.00,共有部份,鋼筋混凝土造,86年9月18日,十二層,
RPUOMLQLPHGGFAH78DA,30,272.92,集合住宅﹐儲藏室﹐集合住宅﹐店舖,鋼筋混凝土造,80年5月22日,五層,一層 二層 三層 四層 五層 陽台 平台 騎樓 水箱 露台 地下層
RPUOMLQLPHGGFAH78DA,29,14.44,防空避難室兼停車場,鋼筋混凝土造,81年1月6日,十四層,地下一層
RPUPMLQJRHGGFAH88DA,3,83.58,住家用,鋼筋混凝土造,107年3月23日,二十一層,十四層 陽台 雨遮
RPUPMLQJRHGGFAH88DA,3,69.45,本共有部分之項目有附屬（停車空間、防空避難室兼停車空間、台電配電場所、公共服務空間、管委會使用空間、梯間、消防機房、消防水箱、機房、水箱）等項,鋼筋混凝土造,107年3月23日,二十一層,
RPOOMLLMQHGGFAH87DA,23,110.47,住家用,鋼筋混凝土造,88年2月5日,十四層,十三層 十四層 陽台
RPOOMLLMQHGGFAH87DA,23,5.30,共有部份,鋼筋混凝土造,88年2月5日,十四層,
RPOOMLLMQHGGFAH87DA,23,22.33,共有部份,鋼筋混凝土造,88年2月5日,十四層,
RPUQMLRJRHGGFAH09DA,,82.88,住家用,鋼筋混凝土造,110年6月10日,十五層,二層 陽台
RPUQMLRJRHGGFAH09DA,,48.91,共有部分主要用途有：管委會使用空間、車道、停車空間、台電配電場所、蓄水池、水景機房、垃圾儲藏室、梯間、儲藏室、發電機房、電信室、防空避難室兼停車空間、消防泵浦室、污水、雨水機房等１４項。,鋼筋混凝土造,110年6月10日,十五層,
RPUQMLRJRHGGFAH09DA,,18.89,共有部分主要用途有：梯間、機械室、水箱等３項。,鋼筋混凝土造,110年6月10日,十五層,
RPUPMLLMQHGGFAH58DA,1,84.92,店舖,鋼筋混凝土造,109年10月23日,十四層,一層 陽台
RPUPMLLMQHGGFAH58DA,1,52.68,本共有部分之項目有：集合住宅（附屬管委會使用空間）、梯間、停車空間、防空避難室兼停車空間、消防幫浦室、污水及雨水回收機房、蓄水池、電信室、台電配電場所、發電機室、垃圾處理室等１１項。,鋼筋混凝土造,109年10月23日,十四層,
RPUPMLLMQHGGFAH58DA,1,16.26,本共有部分之項目有：集合住宅（附屬梯間）、梯間、水箱、機房等４項。,鋼筋混凝土造,109年10月23日,十四層,
RPOSMLLMQHGGFAH28DA,28,82.71,一般零集業,鋼筋混凝土造,82年10月30日,十層,一層 平台
RPOSMLLMQHGGFAH28DA,28,32.84,共有部份,鋼筋混凝土造,82年10月30日,十層,
RPQSMLRJRHGGFAH88DA,2,59.22,住家用,鋼筋混凝土造,108年11月5日,十層,九層 陽台
RPQSMLRJRHGGFAH88DA,2,80.48,本共有部分之項目有：停車空間、防空避難室兼停車空間、公共服務空間、車道、樓電梯間、樓梯間、機械室、水箱等項。,鋼筋混凝土造,108年11月5日,十三層,
RPQOMLLJRHGGFAH87DA,1,121.63,住家用,鋼骨鋼筋混凝土造,109年1月6日,二十六層,二十四層 陽台
RPQOMLLJRHGGFAH87DA,1,57.35,本建物共有部分項目：集合住宅（附屬公共設施）、停車空間、防空避難室兼停車空間等項。,鋼骨鋼筋混凝土造,109年1月6日,二十七層,
RPQOMLLJRHGGFAH87DA,1,32.11,本建物共有部分項目：梯間、機房、水箱等項。,鋼骨鋼筋混凝土造,109年1月6日,二十六層,
RPWRMLRJRHGGFAH76DA,21,84.04,住家用,鋼筋混凝土造,89年12月5日,十二層,二層 陽台 雨遮
RPWRMLRJRHGGFAH76DA,21,.02,管理員室,鋼筋混凝土造,89年12月5日,十二層,二層
RPWRMLRJRHGGFAH76DA,21,12.04,共有部份,鋼筋混凝土造,89年12月5日,十二層,
RPWRMLRJRHGGFAH76DA,21,13.98,共有部份,鋼筋混凝土造,89年12月5日,十二層,
RPWRMLRJRHGGFAH76DA,21,24.83,共有部份,鋼筋混凝土造,89年12月5日,十二層,
RPWRMLSJRHGGFAH86DA,27,103.71,廠房,鋼筋混凝土造,83年7月26日,十二層,二層 陽台
RPWRMLSJRHGGFAH86DA,27,5.24,共有部份,鋼筋混凝土造,83年7月26日,十二層,
RPWRMLSJRHGGFAH86DA,27,34.35,共有部份,鋼筋混凝土造,83年7月26日,十二層,
RPWRMLSJRHGGFAH86DA,27,3.61,共有部份,鋼筋混凝土造,83年7月26日,十二層,
RPUSMLSJRHGGFAH76DA,2,39.61,住家用,鋼筋混凝土造,109年1月17日,十二層,十層 陽台 雨遮
RPUSMLSJRHGGFAH76DA,2,64.43,本共有部分之項目有：台電配電室、防空避難室兼停車空間、停車空間、樓梯間、機械室、水箱、電梯機房等項。,鋼筋混凝土造,109年1月17日,十二層,
RPRRMLQLQHGGFAH88DA,20,142.51,住家用,鋼骨鋼筋混凝土造,90年11月29日,二十層,九層 陽台
RPRRMLQLQHGGFAH88DA,20,11.82,共有部份,鋼骨鋼筋混凝土造,90年11月29日,二十層,
RPRRMLQLQHGGFAH88DA,20,26.10,共有部份,鋼骨鋼筋混凝土造,90年11月29日,二十層,
RPRRMLQLQHGGFAH88DA,20,48.59,共有部份,鋼骨鋼筋混凝土造,90年11月29日,二十層,
RPVSMLSJRHGGFAH86DA,2,39.61,住家用,鋼筋混凝土造,109年1月17日,十二層,七層 陽台 雨遮
RPVSMLSJRHGGFAH86DA,2,64.43,本共有部分之項目有：台電配電室、防空避難室兼停車空間、停車空間、樓梯間、機械室、水箱、電梯機房等項。,鋼筋混凝土造,109年1月17日,十二層,
RPTSMLSJRHGGFAH66DA,1,95.04,住家用,鋼筋混凝土造,109年1月17日,十二層,九層 陽台 雨遮
RPTSMLSJRHGGFAH66DA,1,138.51,本共有部分之項目有：台電配電室、防空避難室兼停車空間、停車空間、樓梯間、機械室、水箱、電梯機房等項。,鋼筋混凝土造,109年1月17日,十二層,
RPSOMLTJRHGGFAH88DA,38,74.33,住家用,鋼筋混凝土造,72年9月17日,五層,三層 陽台
RPTRMLRJPHGGFBH98DA,17,31.45,住家用,鋼筋混凝土造,93年7月6日,十八層,四層 陽台
RPTRMLRJPHGGFBH98DA,17,8.65,共有部分,鋼筋混凝土造,93年7月6日,十八層,
RPTRMLRJPHGGFBH98DA,17,3.77,共有部分,鋼筋混凝土造,93年7月6日,十八層,
RPTRMLRJPHGGFBH98DA,17,.95,共有部分,鋼筋混凝土造,93年7月6日,十八層,
RPUQMLNKPHGGFBH68DA,,246.97,住宅、住宅（附屬停車空間）,鋼筋混凝土造,110年2月3日,三層,一層 二層 三層 陽台
RPPSMLLKQHGGFBH28DA,10,66.58,集合住宅,鋼筋混凝土造,100年6月28日,十五層,十二層 陽台 雨遮
RPPSMLLKQHGGFBH28DA,10,36.00,本共有部分之項目：管委會使用空間、陽台、基地內通路、車道、停車空間、台電受電室、樓梯間、排風室、發電機室、水箱、防空避難室兼停車空間、排風管道、電信室、消防機房等十四項。,鋼筋混凝土造,100年6月28日,十五層,
RPPSMLLKQHGGFBH28DA,10,10.16,本共有部分之項目：樓梯間、機械室、水箱等三項。,鋼筋混凝土造,100年6月28日,十五層,
RPTPMLQJQHGGFBH78DA,22,124.19,住家用,鋼筋混凝土造,88年9月17日,十五層,十一層 陽台 雨遮
RPTPMLQJQHGGFBH78DA,22,15.92,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPTPMLQJQHGGFBH78DA,22,4.79,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPTPMLQJQHGGFBH78DA,22,6.36,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPTPMLQJQHGGFBH78DA,22,37.13,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPSNMLSJRHGGFAH68DA,26,199.30,住家用,鋼筋混凝土造,84年12月14日,八層,八層 陽台 露台 花台 雨遮
RPSNMLSJRHGGFAH68DA,26,23.00,共有部份,鋼筋混凝土造,84年12月14日,八層,
RPSNMLSJRHGGFAH68DA,26,35.79,共有部份,鋼筋混凝土造,84年12月14日,八層,
