編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLKKRHGGFAG97EA,27,9.83,停車場、防空避難室、共同使用部份,鋼筋混凝土造,83年9月16日,七層,
RPSNMLKKRHGGFAG97EA,27,1.20,梯間、共同使用部份,鋼筋混凝土造,83年9月16日,七層,
RPQOMLKKRHGGFBG87DA,5,213.54,住宅、樓梯間,鋼筋混凝土造,106年1月26日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLKKRHGGFBG67DA,15,167.77,農舍,鋼骨造、鋼筋混凝土加強磚造,95年2月10日,一層,一層
RPROMLQKQHGGFBG48DA,4,42.41,一般事務所,鋼筋混凝土造,106年6月28日,十一層,二層 陽台 雨遮
RPROMLQKQHGGFBG48DA,4,35.29,本共有部分項目：防空避難室停車空間、梯廳、電梯、安全梯、門廳、管委會使用空間、電梯間、機房、水箱、外廊、陽台。,鋼筋混凝土造,106年6月28日,十一層,
RPROMLQKQHGGFBG48DA,4,8.47,本共有部分項目：梯廳、陽台,鋼筋混凝土造,106年6月28日,十一層,
RPPNMLKKRHGGFAG57DA,25,36.42,住家用,鋼筋混凝土造,85年12月19日,六層,三層 陽台
RPPNMLKKRHGGFAG57DA,25,9.31,停車場、梯間、通道、變電設施、共同使用部份,鋼筋混凝土造,85年12月19日,六層,
RPPNMLKKRHGGFAG57DA,25,6.73,梯間、通廊、共同使用部份,鋼筋混凝土造,85年12月19日,六層,
RPTOMLQKQHGGFBG68DA,4,41.51,一般事務所,鋼筋混凝土造,106年6月28日,十一層,四層 陽台 雨遮
RPTOMLQKQHGGFBG68DA,4,34.38,本共有部分項目：防空避難室停車空間、梯廳、電梯、安全梯、門廳、管委會使用空間、電梯間、機房、水箱、外廊、陽台。,鋼筋混凝土造,106年6月28日,十一層,
RPTOMLQKQHGGFBG68DA,4,7.01,本共有部分項目：梯廳。,鋼筋混凝土造,106年6月28日,十一層,
RPROMLKKRHGGFAG87DA,28,68.88,住家用,鋼筋混凝土造,82年9月17日,十層,九層
RPROMLKKRHGGFAG87DA,28,15.95,梯間電氣室、機械室﹙共同使用部份﹚,鋼筋混凝土造,82年9月17日,十層,
RPXPMLRJRHGGFAG56DA,1,69.50,集合住宅,鋼筋混凝土造,109年10月12日,五層,二層 陽台
RPXPMLRJRHGGFAG56DA,1,14.26,本共有部分之項目有電機設備空間、樓梯間等２項。,鋼筋混凝土造,109年10月12日,五層,
RPXPMLRJRHGGFAG56DA,1,.81,本共有部分之項目有配電室、電信室等２項。,鋼筋混凝土造,109年10月12日,五層,
RPXPMLRJRHGGFAG56DA,1,27.29,本共有部分之項目有停車空間等１項。,鋼筋混凝土造,109年10月12日,五層,
RPVNMLLJRHGGFAG18DA,8,464.72,農舍,鋼筋混凝土造,102年5月30日,二層,一層 二層 陽台 屋頂突出物
RPROMLQJRHGGFAG38DA,,172.58,住家用,鋼筋混凝土造,110年2月3日,三層,一層 二層 三層 陽台
RPRPMLNJQHGGFAG08DA,2,135.98,集合住宅,鋼筋混凝土造,108年10月9日,十五層,六層 陽台
RPRPMLNJQHGGFAG08DA,2,48.53,本共有部分之項目有：防空避難室兼停車空間、管理委員會、樓梯間等３項,鋼筋混凝土造,108年10月9日,十五層,
RPRPMLNJQHGGFAG08DA,2,46.36,本共有部分之項目有：樓梯間、水箱、機房、機械室等４項（Ｃ棟公設）,鋼筋混凝土造,108年10月9日,十五層,
RPQOMLRLQHGGFAG48DA,44,129.07,住家用,鋼筋混凝土加強磚造,66年6月29日,二層,一層 二層 騎樓
RPQOMLKKRHGGFAG77DA,2,236.17,住家用,鋼筋混凝土造,108年10月17日,四層,一層 二層 三層 四層 陽台
RPRNMLLKRHGGFAG87DA,,233.29,農舍,鋼筋混凝土造,110年8月6日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLKKRHGGFAG97DA,5,221.77,住家用,鋼筋混凝土造,105年3月1日,三層,一層 二層 三層 陽台
RPSNMLLKRHGGFAG97DA,47,99.90,住家用,鋼筋混凝土加強磚造,63年5月17日,二層,一層 二層 騎樓
