編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOKRHGGFCD18DA,27,99.53,住家用,鋼筋混凝土造,83年7月23日,九層,八層 陽台
RPWNMLNKRHGGFCD48DA,11,28.07,本共有部分之項目有地下一、二、三層全部、有頂蓋式開放空間、門廊、一至十四層梯間、屋突等。,鋼筋混凝土造,99年5月7日,十四層,
RPWNMLNKRHGGFCD48DA,11,27.13,本共有部分之項目有地下一、二、三層全部、有頂蓋式開放空間、門廊、一至十四層梯間、屋突等。,鋼筋混凝土造,99年5月7日,十四層,
RPXOMLLKRHGGFCD48DA,29,51.42,住家用,鋼筋混凝土造,81年10月28日,八層,五層 陽台
RPXOMLLKRHGGFCD48DA,29,11.65,共有部分,鋼筋混凝土造,81年10月28日,八層,
RPVNMLQJRHGGFCD58DA,22,54.81,住家用,鋼筋混凝土造,88年8月2日,十四層,十一層 陽台
RPVNMLQJRHGGFCD58DA,22,18.59,共有部分,鋼筋混凝土造,88年8月2日,十四層,
RPVNMLQJRHGGFCD58DA,22,5.99,共有部分,鋼筋混凝土造,88年8月2日,十四層,
RPSNMLNKPHGGFCD87DA,30,95.99,商業用,鋼筋混凝土造,80年3月23日,十二層,五層 陽台
RPSNMLNKPHGGFCD87DA,30,25.40,共有部分,鋼筋混凝土造,80年3月23日,十二層,
RPUNMLLMQHGGFCD18DA,32,18.71,住家用,鋼筋混凝土造,78年6月20日,九層,九層 陽台
RPUNMLLMQHGGFCD18DA,32,6.31,共有部分,鋼筋混凝土造,78年6月20日,九層,
RPXPMLNJQHGGFCD58DA,27,20.13,共有部分,鋼筋混凝土造,83年12月6日,八層,
RPXPMLNJQHGGFCD58DA,27,22.09,共有部分,鋼筋混凝土造,83年12月6日,八層,
RPXPMLNJQHGGFCD58DA,27,54.26,共有部分,鋼筋混凝土造,83年12月6日,八層,
RPXPMLNJQHGGFCD58DA,27,127.72,住家用,鋼筋混凝土造,83年12月6日,八層,八層 陽台
RPVOMLKKRHGGFBD08DA,50,37.02,住家用,加強磚造,60年1月1日,一層,一層
RPVOMLKKRHGGFBD08DA,50,33.03,住家用,加強磚造,60年1月1日,一層,一層
RPWOMLLKQHGGFCD28DA,3,80.34,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,八層 陽台
RPWOMLLKQHGGFCD28DA,3,64.00,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPTOMLNKRHGGFBD18DA,44,123.18,住家用,加強磚造,66年3月17日,二層,一層 二層
RPROMLSJRHGGFBD38DA,1,85.83,集合住宅,鋼筋混凝土造,110年1月14日,十五層,八層 陽台
RPROMLSJRHGGFBD38DA,1,64.33,本共有部份之項目有：防空避難室兼停車空間、停車空間、樓梯間、梯廳、水箱、排煙室、昇降機間、消防機房、雨水機房、台電配電室、緊急發電機室、電信室、電梯機房、管委會使用空間、車道、門廳、太陽能機房、資源回收中心、外廊共１９項。,鋼筋混凝土造,110年1月14日,十五層,
RPSOMLTJRHGGFBD58DA,40,124.23,住家用,鋼筋混凝土造,70年6月5日,三層,一層 二層 三層
