編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLNKRHGGFCM09DA,,52.61,本共有部分之項目有停車空間、管委會使用空間、電梯機房、樓梯間、水管間、水箱間等６項,ＲＣ造,110年6月8日,十二層,
RPTNMLLJRHGGFBM68DA,27,175.44,住商用,鋼筋混凝土造,83年3月16日,九層,一層 二層 三層 陽台 平台 騎樓 花台
RPTNMLLJRHGGFBM68DA,27,50.03,避難室、停車空間、屋頂、水箱、機械室,鋼筋混凝土造,83年3月16日,九層,
RPUNMLMJRHGGFAM78DA,23,171.48,農舍,加強磚造,86年12月17日,一層,一層
RPRNMLMJRHGGFBM58DA,24,187.12,住家用,鋼筋混凝土造,86年5月30日,四層,一層 二層 三層 四層 陽台 騎樓
RPUNMLOJQHGGFBM98DA,13,5130.12,廠房、廠房附屬空間〈餐廳、宿舍、辦公室〉,鋼骨鋼筋混凝土造、鋼筋混凝土造,97年10月22日,三層,一層 二層 三層 陽台 雨遮
RPVNMLTKQHGGFBM07DA,15,208.55,住家用,鋼筋混凝土造,95年7月7日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
RPVNMLQJRHGGFCM86DA,41,118.45,住商用,加強磚造,69年5月15日,二層,一層 二層 騎樓
RPPNMLNKRHGGFCM68DA,41,94.20,住家用,鋼筋混凝土加強磚造,70年1月13日,二層,一層 二層
RPROMLSJRHGGFCM76DA,28,19.03,住家用,加強磚造,82年4月21日,一層,一層
RPRNMLRJRHGGFCM56DA,44,143.43,住商用,鋼筋混凝土加強磚造,66年10月12日,三層,一層 二層 三層 騎樓
RPQNMLLJRHGGFEM68DA,21,252.21,自用農舍,ＲＣ加強磚造,89年4月18日,一層,一層
RPSNMLPKRHGGFCM56DA,20,292.84,住家用,鋼筋混凝土造,90年10月24日,四層,一層 二層 三層 四層 陽台
RPTNMLNKRHGGFBM09EA,1,270.04,農舍、樓梯間,鋼筋混凝土造,109年12月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLOKRHGGFAM78EA,21,81.75,農舍,鋼鐵造有牆,90年2月7日,一層,一層
RPVNMLOKRHGGFAM66EA,20,172.25,住商用,鋼筋混凝土造,90年3月8日,四層,一層 二層 三層 四層 陽台
RPPNMLNKRHGGFDM78DA,40,231.29,住商用,鋼筋混凝土造,70年10月7日,四層,一層 二層 三層 四層 騎樓
RPSNMLSLPHGGFAM56DA,4,317.85,住家用,鋼筋混凝土造,106年6月21日,四層,一層 二層 三層 四層 陽台
RPSNMLLKQHGGFCM68DA,5,177.01,農舍,鋼骨造,105年12月13日,一層,一層
RPUNMLRJRHGGFAM66DA,42,123.66,住商用,鋼筋混凝土加強磚造,68年3月9日,二層,一層 二層 騎樓
RPRNMLMJQHGGFAM38DA,8,252.59,住宅、停車空間,鋼筋混凝土造,102年8月14日,四層,一層 二層 三層 四層 陽台
RPVNMLOKRHGGFAM56DA,40,162.42,住商用,鋼筋混凝土造,70年8月27日,三層,一層 二層 三層 騎樓
RPPNMLOLPHGGFBM58DA,,188.93,倉庫、樓梯間,鋼筋混凝土造,110年6月4日,三層,一層 二層 三層 陽台 見其他登記事項
